Estrato,Entidad federativa,Valor
,Estados Unidos Mexicanos,4.18
,Aguascalientes,2.3
,Baja California,2.3
,Baja California Sur,8.27
,Campeche,-4.96
,Coahuila de Zaragoza,2.58
,Colima,-0.62
,Chiapas,7.69
,Chihuahua,5.69
,Distrito Federal,5.71
,Durango,0.28
,Guanajuato,4.27
,Guerrero,5.03
,Hidalgo,10.06
,Jalisco,8.02
,México,2.83
,Michoacán de Ocampo,1.17
,Morelos,5.16
,Nayarit,3.71
,Nuevo León,2.5
,Oaxaca,7.05
,Puebla,7.39
,Querétaro,2.97
,Quintana Roo,6.7
,San Luis Potosí,4.11
,Sinaloa,6.42
,Sonora,3.69
,Tabasco,7.59
,Tamaulipas,4.16
,Tlaxcala,0.45
,Veracruz de Ignacio de la Llave,0.75
,Yucatán,-0.38
,Zacatecas,1.39
